arm,arm_desc,model,far_target,n_failed,n_healthy,tp,fn,fp,tn,roc_auc,recall,precision,far
balanced_bagging,Balanced Bagging (RUS 1:1 부분표본 10개 x 셀렉 모델),xgboost_balanced_bagging,0.01,47,29247,28,19,322,28925,0.963509363739746,0.5957446808510638,0.08,0.011009676206106609
rus_50,무작위 언더샘플링 1:50,xgboost,0.01,47,29247,28,19,338,28909,0.9573147539630567,0.5957446808510638,0.07650273224043716,0.011556740862310665
stride_30,시간축 언더샘플링 (음성 30일 간격),xgboost,0.01,47,29247,28,19,339,28908,0.9660432840972714,0.5957446808510638,0.07629427792915532,0.011590932403323418
rus_1,무작위 언더샘플링 1:1,xgboost,0.01,47,29247,27,20,350,28897,0.9541351667456933,0.574468085106383,0.07161803713527852,0.011967039354463705
easy_ensemble,EasyEnsemble (RUS 부분표본 10개 x AdaBoost),xgboost_easy_ensemble,0.01,47,29247,23,24,352,28895,0.9576498487937651,0.48936170212765956,0.06133333333333333,0.012035422436489213
balanced_rf,Balanced Random Forest (트리마다 RUS),xgboost_balanced_rf,0.01,47,29247,21,26,304,28943,0.9609377766790231,0.44680851063829785,0.06461538461538462,0.010394228467877048
ros,RUS 1:50 + 무작위 오버샘플링 1:1,xgboost,0.01,47,29247,19,28,284,28963,0.9601399113016192,0.40425531914893614,0.0627062706270627,0.009710397647621978
adasyn,RUS 1:50 + ADASYN 1:1,xgboost,0.01,47,29247,18,29,286,28961,0.9543880256506737,0.3829787234042553,0.05921052631578947,0.009778780729647486
smote_tomek,RUS 1:50 + SMOTE + Tomek link 정리,xgboost,0.01,47,29247,17,30,262,28985,0.9540577503488769,0.3617021276595745,0.06093189964157706,0.008958183745341403
smote,RUS 1:50 + SMOTE 1:1,xgboost,0.01,47,29247,16,31,293,28954,0.9498612070849175,0.3404255319148936,0.05177993527508091,0.010018121516736759
cost,비용민감 가중 (전 표본),xgboost,0.01,47,29247,14,33,204,29043,0.9614112945808125,0.2978723404255319,0.06422018348623854,0.0069750743666017025
borderline_smote,RUS 1:50 + Borderline-SMOTE 1:1,xgboost,0.01,47,29247,10,37,348,28899,0.9526631738294137,0.2127659574468085,0.027932960893854747,0.0118986562724382
none,처리 없음 (전 표본),xgboost,0.05,47,29247,40,7,1519,27728,0.9598873333264119,0.851063829787234,0.025657472738935216,0.05193695079837248
rus_50,무작위 언더샘플링 1:50,xgboost,0.05,47,29247,40,7,1466,27781,0.9573147539630567,0.851063829787234,0.02656042496679947,0.05012479912469655
stride_30,시간축 언더샘플링 (음성 30일 간격),xgboost,0.05,47,29247,40,7,1594,27653,0.9660432840972714,0.851063829787234,0.02447980416156671,0.05450131637432899
ros,RUS 1:50 + 무작위 오버샘플링 1:1,xgboost,0.05,47,29247,39,8,1528,27719,0.9601399113016192,0.8297872340425532,0.02488832163369496,0.052244674667487265
rus_10,무작위 언더샘플링 1:10,xgboost,0.05,47,29247,38,9,1558,27689,0.9477816559095715,0.8085106382978723,0.023809523809523808,0.05327042089786987
balanced_bagging,Balanced Bagging (RUS 1:1 부분표본 10개 x 셀렉 모델),xgboost_balanced_bagging,0.05,47,29247,37,10,1472,27775,0.963509363739746,0.7872340425531915,0.024519549370444003,0.05032994837077307
balanced_rf,Balanced Random Forest (트리마다 RUS),xgboost_balanced_rf,0.05,47,29247,37,10,1570,27677,0.9609377766790231,0.7872340425531915,0.023024268823895456,0.05368071939002291
easy_ensemble,EasyEnsemble (RUS 부분표본 10개 x AdaBoost),xgboost_easy_ensemble,0.05,47,29247,37,10,1618,27629,0.9576498487937651,0.7872340425531915,0.022356495468277945,0.05532191335863507
match_val,학습 유병률을 val 창에 정합,xgboost,0.05,47,29247,37,10,1409,27838,0.9614316318761599,0.7872340425531915,0.025587828492392807,0.048175881286969605
rus_1,무작위 언더샘플링 1:1,xgboost,0.05,47,29247,37,10,1481,27766,0.9541351667456933,0.7872340425531915,0.024374176548089592,0.050637672239887854
smote,RUS 1:50 + SMOTE 1:1,xgboost,0.05,47,29247,37,10,1395,27852,0.9498612070849175,0.7872340425531915,0.025837988826815643,0.04769719971279106
smote_tomek,RUS 1:50 + SMOTE + Tomek link 정리,xgboost,0.05,47,29247,37,10,1441,27806,0.9540577503488769,0.7872340425531915,0.02503382949932341,0.04927001059937772
cost,비용민감 가중 (전 표본),xgboost,0.05,47,29247,35,12,1409,27838,0.9614112945808125,0.7446808510638298,0.024238227146814405,0.048175881286969605
rusboost,RUSBoost (부스팅 매 회차 RUS),xgboost_rusboost,0.05,47,29247,35,12,1890,27357,0.9159318871743799,0.7446808510638298,0.01818181818181818,0.06462201251410402
adasyn,RUS 1:50 + ADASYN 1:1,xgboost,0.05,47,29247,33,14,1357,27890,0.9543880256506737,0.7021276595744681,0.023741007194244605,0.046397921154306423
borderline_smote,RUS 1:50 + Borderline-SMOTE 1:1,xgboost,0.05,47,29247,23,24,961,28286,0.9526631738294137,0.48936170212765956,0.023373983739837397,0.03285807091325606
