column,mean_abs_ig
197,0.43842396
196,0.25363478
5,0.13878007
4,0.061832268
198,0.060363844
12,0.053572632
226,0.045254726
192,0.03346191
9,0.0329385
194,0.03232506
222,0.028150614
193,0.027014378
220,0.021981511
3,0.01724009
_mask,0.013768511
199,0.007618698
191,0.0022125249
