trial,pauc,recall01,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda
34,0.8940551413371671,0.7623355263157895,0.021374136119487578,7,4,0.6417087080951482,0.971665653652669,0.37969271115336406
31,0.8932748626245263,0.7516447368421053,0.012286585700838243,7,3,0.7415988924342911,0.8654101943533649,0.8543693919267359
32,0.8931322179278522,0.7648026315789473,0.012781171813523657,7,3,0.7575508686782294,0.8739021759738439,0.812958728159399
42,0.8930155130132946,0.7935855263157895,0.019486193569106944,7,3,0.7769715337882823,0.8877348029890431,0.3353392198175615
35,0.8925403097482343,0.7935855263157895,0.02068205666209348,7,4,0.6605880193785347,0.9721434763467671,0.37859629963827807
41,0.8921694265658899,0.7779605263157895,0.025065171953287866,7,4,0.6959752684638592,0.9535798720080851,0.3106200755152361
45,0.8920460422682643,0.7935855263157895,0.017060575453817506,7,3,0.7964383256452675,0.9172787179389362,0.41525240085070186
37,0.891828107354711,0.7779605263157895,0.024187799080822452,7,4,0.7040535567708051,0.9556481785383818,0.3140327567287862
48,0.8916893803393066,0.7648026315789473,0.010227079108127275,7,3,0.7629354859367329,0.9012043817370331,2.7615182265109133
40,0.891340079803465,0.7648026315789473,0.07092176500753312,6,13,0.7230974070349897,0.9578645816618105,0.7056957227360164
16,0.8912448920158234,0.7804276315789473,0.015982721331026076,8,1,0.6133960902249034,0.6450889144977943,0.12587573902575447
4,0.8911937281579871,0.7911184210526316,0.014952219652829973,8,1,0.972334458524792,0.7609241608750359,0.045566719139214756
33,0.890785143359694,0.7516447368421053,0.014127700427916766,6,6,0.6932998655402931,0.9138649357650032,2.4300340305275494
43,0.8905330779528162,0.7648026315789473,0.01986042541289394,7,3,0.7742466166148123,0.8464079447519257,1.2168632580329393
30,0.8903368862309593,0.7516447368421053,0.01242228747566271,7,3,0.7550289715111788,0.8605466333955267,0.7990207357187612
17,0.8901130355455316,0.7648026315789473,0.041196955025404984,8,1,0.9274657712393257,0.6018010674463736,5.864453320682753
36,0.8898435718167197,0.7491776315789473,0.020626617909426923,5,4,0.6563025714364249,0.9791568738042097,1.3735610621504146
39,0.8894659079054641,0.7648026315789473,0.03233953036694747,7,9,0.6657237855488258,0.8836760299201208,1.9643789952433044
9,0.8893633727111001,0.7648026315789473,0.020348682523113566,4,10,0.626645801269891,0.7331553864281531,0.009499535455183799
44,0.8893558726126527,0.7360197368421053,0.012692182792830884,6,6,0.7236326937827178,0.8782390948028937,0.1803625123421255
18,0.8889375279215819,0.7804276315789473,0.014016370996638598,8,1,0.8487344938896565,0.6599717015143836,0.13551842067610137
21,0.8888808185982324,0.7779605263157895,0.04408637515222101,8,1,0.9008165285446252,0.579067454305503,4.854496710250568
6,0.8886356728129083,0.7648026315789473,0.0801935800522185,7,39,0.8409101495517417,0.679753950286893,0.05599223654063348
22,0.8884089182445232,0.7779605263157895,0.016097747790429592,8,1,0.9515671750190214,0.628697377417593,1.1003720182724015
0,0.8881695381888928,0.7516447368421053,0.0646642271741456,8,8,0.7724415914984484,0.7118273996694524,0.3833332156156664
47,0.8880943440112145,0.7648026315789473,0.018093283817922585,6,2,0.819343854496478,0.991548370597416,1.688335061080942
