serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
2AG61PSY,0,0,,,,0,0,0,0,0,1,0.0009482820751145482,,2019-05-27,
2AG8AVRY,0,0,,,,0,0,0,0,0,1,0.005372387357056141,,2019-08-14,
2AGEGU7Y,0,0,,,,0,0,0,0,0,1,0.0009343654965050519,,2019-05-27,
2AGEU1JY,0,1,2025-08-04,,,0,0,1,1,0,0,0.6924422383308411,0.3681696355342865,2019-06-01,2256.0
2AGG48NY,0,0,,,,0,0,0,0,0,1,0.0009341214899905026,,2019-05-27,
2AGG7H1Y,0,0,,,,0,0,0,0,0,1,0.0009341214899905026,,2019-05-27,
2AGGHGJY,1,1,2024-11-19,2024-11-19,0.0,1,0,0,0,0,0,0.47116634249687195,0.47116634249687195,2019-05-16,2014.0
2AGGHLEY,0,0,,,,0,0,0,0,0,1,0.0009460628498345613,,2019-06-01,
2AGGHM0Y,0,0,,,,0,0,0,0,0,1,0.0009341214899905026,,2019-05-27,
2AGGHMUY,0,0,,,,0,0,0,0,0,1,0.0009460628498345613,,2019-05-16,
2AGGHR1Y,0,0,,,,0,0,0,0,0,1,0.006176062393933535,,2019-05-27,
2AGGHR7Y,0,0,,,,0,0,0,0,0,1,0.0016803423641249537,,2019-05-27,
2AGGL0UY,1,0,,2022-02-27,,0,0,0,0,1,0,0.013415423221886158,,2019-05-27,
2AGGR3NY,0,0,,,,0,0,0,0,0,1,0.0406329371035099,,2019-05-27,
2AGGZNJY,0,0,,,,0,0,0,0,0,1,0.00240955944173038,,2019-05-27,
2AGH31BY,1,0,,2023-11-01,,0,0,0,0,1,0,0.04829779639840126,,2019-05-27,
2AGH31PY,1,0,,2024-11-18,,0,0,0,0,1,0,0.20475256443023682,,2019-05-27,
2AGH33SY,1,1,2025-02-06,2025-05-08,91.0,0,1,0,1,0,0,0.3438648283481598,0.3438648283481598,2019-05-27,2082.0
2AGH34HY,0,0,,,,0,0,0,0,0,1,0.0997747927904129,,2019-05-27,
2AGH34PY,0,0,,,,0,0,0,0,0,1,0.0009482820751145482,,2019-05-27,
2AGH35GY,0,0,,,,0,0,0,0,0,1,0.0009460628498345613,,2019-05-27,
2AGHB9XY,1,0,,2024-12-02,,0,0,0,0,1,0,0.08123727142810822,,2019-05-27,
2AGHDYHY,0,0,,,,0,0,0,0,0,1,0.0021275735925883055,,2019-05-27,
2AGHEP9Y,1,0,,2024-07-26,,0,0,0,0,1,0,0.01813441328704357,,2019-05-27,
2AGHGR1Y,0,0,,,,0,0,0,0,0,1,0.021908503025770187,,2019-05-27,
2AGHGRLY,0,0,,,,0,0,0,0,0,1,0.001596411457285285,,2019-05-27,
2AGHGRRY,0,0,,,,0,0,0,0,0,1,0.0009460628498345613,,2019-05-27,
2AGHJD4Y,0,0,,,,0,0,0,0,0,1,0.18880967795848846,,2019-06-01,
2AGHK55Y,0,0,,,,0,0,0,0,0,1,0.0009343654965050519,,2019-05-27,
2AGHK8MY,0,0,,,,0,0,0,0,0,1,0.0020149825140833855,,2019-05-27,
2AGHLEUY,1,0,,2023-11-06,,0,0,0,0,1,0,0.014147697947919369,,2019-05-27,
