serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AG61PSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008788717105832049,,2019-05-27,,0.466
2AG8AVRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005467186858367867,,2019-08-14,,0.466
2AGEGU7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008788717105832049,,2019-05-27,,0.466
2AGEU1JY,0,1,2025-08-04,,,Censored Early,0,0,1,1,0,0,0.9997315471879935,0.9996993150524092,2019-06-01,2256.0,0.466
2AGG48NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008788717105832049,,2019-05-27,,0.466
2AGG7H1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008788717105832049,,2019-05-27,,0.466
2AGGHGJY,1,0,,2024-11-19,,Missed,0,0,0,0,1,0,0.22026368856501796,,2019-05-16,,0.466
2AGGHLEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008788717105832049,,2019-06-01,,0.466
2AGGHM0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008788717105832049,,2019-05-27,,0.466
2AGGHMUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008788717105832049,,2019-05-16,,0.466
2AGGHR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005837535469162825,,2019-05-27,,0.466
2AGGHR7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009825361984672969,,2019-05-27,,0.466
2AGGL0UY,1,0,,2022-02-27,,Missed,0,0,0,0,1,0,0.0008367140550404863,,2019-05-27,,0.466
2AGGR3NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.035540374802791624,,2019-05-27,,0.466
2AGGZNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009825361984672969,,2019-05-27,,0.466
2AGH31BY,1,0,,2023-11-01,,Missed,0,0,0,0,1,0,0.019117377494521377,,2019-05-27,,0.466
2AGH31PY,1,1,2024-08-11,2024-11-18,99.0,Early,0,1,0,1,0,0,0.9211881297628924,0.9211881297628924,2019-05-27,1903.0,0.466
2AGH33SY,1,1,2025-02-15,2025-05-08,82.0,Early,0,1,0,1,0,0,0.9605817809488556,0.9446602639192445,2019-05-27,2091.0,0.466
2AGH34HY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.052165061459770214,,2019-05-27,,0.466
2AGH34PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008788717105832049,,2019-05-27,,0.466
2AGH35GY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008788717105832049,,2019-05-27,,0.466
2AGHB9XY,1,1,2024-11-19,2024-12-02,13.0,On time,1,0,0,0,0,0,0.7823340077994795,0.7823340077994795,2019-05-27,2003.0,0.466
2AGHDYHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009354106276489692,,2019-05-27,,0.466
2AGHEP9Y,1,0,,2024-07-26,,Missed,0,0,0,0,1,0,0.04441796759967766,,2019-05-27,,0.466
2AGHGR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005047574184750332,,2019-05-27,,0.466
2AGHGRLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000945026740602663,,2019-05-27,,0.466
2AGHGRRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008788717105832049,,2019-05-27,,0.466
2AGHJD4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.17136344774314238,,2019-06-01,,0.466
2AGHK55Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008788717105832049,,2019-05-27,,0.466
2AGHK8MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009825361984672969,,2019-05-27,,0.466
