serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AG61PSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AG8AVRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004590700154778892,,2019-08-14,,0.664
2AGEGU7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGEU1JY,0,1,2025-05-18,,,Censored Early,0,0,1,1,0,0,0.9999999019112101,0.99998685883637,2019-06-01,2178.0,0.664
2AGG48NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGG7H1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGGHGJY,1,1,2024-11-18,2024-11-19,1.0,On time,1,0,0,0,0,0,0.9999998384952421,0.9999998384952421,2019-05-16,2013.0,0.664
2AGGHLEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-06-01,,0.664
2AGGHM0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGGHMUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-16,,0.664
2AGGHR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005550890028808132,,2019-05-27,,0.664
2AGGHR7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGGL0UY,1,0,,2022-02-27,,Missed,0,0,0,0,1,0,0.0012032495134329155,,2019-05-27,,0.664
2AGGR3NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.02546394439032585,,2019-05-27,,0.664
2AGGZNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGH31BY,1,0,,2023-11-01,,Missed,0,0,0,0,1,0,0.027595600183999487,,2019-05-27,,0.664
2AGH31PY,1,1,2024-11-04,2024-11-18,14.0,On time,1,0,0,0,0,0,0.996691094953095,0.996691094953095,2019-05-27,1988.0,0.664
2AGH33SY,1,1,2025-03-01,2025-05-08,68.0,Early,0,1,0,1,0,0,0.9400023537297945,0.9400023537297945,2019-05-27,2105.0,0.664
2AGH34HY,0,1,2025-11-18,,,Censored Early,0,0,1,1,0,0,0.9999356172416873,0.9999356172416873,2019-05-27,2367.0,0.664
2AGH34PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGH35GY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGHB9XY,1,0,,2024-12-02,,Missed,0,0,0,0,1,0,0.03402354946991437,,2019-05-27,,0.664
2AGHDYHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGHEP9Y,1,0,,2024-07-26,,Missed,0,0,0,0,1,0,0.012670867758426818,,2019-05-27,,0.664
2AGHGR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0037052435497202736,,2019-05-27,,0.664
2AGHGRLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGHGRRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGHJD4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.15615517220880282,,2019-06-01,,0.664
2AGHK55Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGHK8MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGHLEUY,1,0,,2023-11-06,,Missed,0,0,0,0,1,0,0.006511691030153827,,2019-05-27,,0.664
2AGHLGTY,1,1,2025-02-27,2025-08-05,159.0,Early,0,1,0,1,0,0,0.9636883462562067,0.9636883462562067,2019-05-27,2103.0,0.664
2AGHLKHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
2AGHLMXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012437928075529191,,2019-05-27,,0.664
