serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AG61PSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000808072249206377,,2019-05-27,,0.998
2AG8AVRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.006069219909526435,,2019-08-14,,0.998
2AGEGU7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000808072249206377,,2019-05-27,,0.998
2AGEU1JY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.9681549547663564,,2019-06-01,,0.998
2AGG48NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000808072249206377,,2019-05-27,,0.998
2AGG7H1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000808072249206377,,2019-05-27,,0.998
2AGGHGJY,1,0,,2024-11-19,,Missed,0,0,0,0,1,0,0.607708438060007,,2019-05-16,,0.998
2AGGHLEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000808072249206377,,2019-06-01,,0.998
2AGGHM0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000808072249206377,,2019-05-27,,0.998
2AGGHMUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000808072249206377,,2019-05-16,,0.998
2AGGHR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00827743976718182,,2019-05-27,,0.998
2AGGHR7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009428709552818715,,2019-05-27,,0.998
2AGGL0UY,1,0,,2022-02-27,,Missed,0,0,0,0,1,0,0.31061257778814005,,2019-05-27,,0.998
2AGGR3NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0355271439734339,,2019-05-27,,0.998
2AGGZNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009947177086172653,,2019-05-27,,0.998
2AGH31BY,1,0,,2023-11-01,,Missed,0,0,0,0,1,0,0.04669847565108249,,2019-05-27,,0.998
2AGH31PY,1,0,,2024-11-18,,Missed,0,0,0,0,1,0,0.3881304239499792,,2019-05-27,,0.998
2AGH33SY,1,1,2025-03-01,2025-05-08,68.0,Early,0,1,0,1,0,0,0.9999928274949615,0.9999877042953862,2019-05-27,2105.0,0.998
2AGH34HY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.3853453990040381,,2019-05-27,,0.998
2AGH34PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008121670928905102,,2019-05-27,,0.998
2AGH35GY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000808072249206377,,2019-05-27,,0.998
2AGHB9XY,1,0,,2024-12-02,,Missed,0,0,0,0,1,0,0.050800248873459,,2019-05-27,,0.998
2AGHDYHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009428709552818715,,2019-05-27,,0.998
2AGHEP9Y,1,0,,2024-07-26,,Missed,0,0,0,0,1,0,0.021999184065479026,,2019-05-27,,0.998
2AGHGR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005764801003582422,,2019-05-27,,0.998
2AGHGRLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009693468940444613,,2019-05-27,,0.998
2AGHGRRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000808072249206377,,2019-05-27,,0.998
2AGHJD4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.9889657050623137,,2019-06-01,,0.998
