ds,model,seed,budget,crit,thr,row_rec,row_far,OT,E,M,CE,CN,recall,precision,far,mlt
HGST,LGBM,47,0.02,op,0.561,0.09165613147914033,0.0007323705132426965,18,33,111,20,957,0.1111111111111111,0.2535211267605634,0.02047082906857728,82.0
HGST,LGBM,47,0.05,row,0.005,0.7035398230088495,0.039494942842357814,11,130,21,130,847,0.06790123456790123,0.04059040590405904,0.1330603889457523,331.0
HGST,LGBM,47,0.05,op,0.024,0.3059418457648546,0.005839770428564708,20,90,52,50,927,0.12345679012345678,0.125,0.0511770726714432,166.0
HGST,LGBM,48,0.001,row,0.019000000000000003,0.11525495153813738,0.0012148468739709272,12,49,101,30,947,0.07407407407407407,0.13186813186813187,0.030706243602865915,141.0
HGST,LGBM,48,0.005,row,0.009000000000000001,0.24125579435313949,0.003602389801006727,22,62,78,48,929,0.13580246913580246,0.16666666666666666,0.04912998976458546,134.0
HGST,LGBM,48,0.01,row,0.006,0.39022334597555836,0.008288281507268194,14,94,54,59,918,0.08641975308641975,0.08383233532934131,0.06038894575230297,216.0
HGST,LGBM,48,0.01,op,0.917,0.054782975136957436,0.00026043185774097947,14,18,130,12,965,0.08641975308641975,0.3181818181818182,0.012282497441146366,38.0
HGST,LGBM,48,0.02,row,0.003,0.5442477876106194,0.01875259914381145,13,105,44,91,886,0.08024691358024691,0.06220095693779904,0.0931422722620266,244.0
HGST,LGBM,48,0.02,op,0.04,0.10450906026127266,0.0009269417133179658,10,48,104,26,951,0.06172839506172839,0.11904761904761904,0.02661207778915046,142.0
HGST,LGBM,48,0.05,row,0.002,0.7528445006321113,0.055592792962318296,12,130,20,161,816,0.07407407407407407,0.039603960396039604,0.1647901740020471,420.5
HGST,LGBM,48,0.05,op,0.015,0.16729877791824693,0.00216850919697041,14,52,96,33,944,0.08641975308641975,0.1414141414141414,0.033776867963152504,137.5
HGST,LGBM,49,0.001,row,0.20900000000000002,0.11378002528445007,0.0014869454767841182,15,54,93,50,927,0.09259259259259259,0.12605042016806722,0.0511770726714432,138.0
HGST,LGBM,49,0.005,row,0.046,0.2895069532237674,0.005179282118831444,19,86,57,88,889,0.11728395061728394,0.09844559585492228,0.09007164790174002,163.0
HGST,LGBM,49,0.01,row,0.028,0.42414664981036665,0.010308510137836948,20,103,39,103,874,0.12345679012345678,0.08849557522123894,0.10542476970317298,229.0
