ds,crit,metric,seed,by_rec,by_prec,rand,best
HGST,row,recall,42,0.0617283950617283,0.1111111111111111,0.08179012345679007,0.1111111111111111
HGST,row,recall,43,0.0679012345679012,0.0987654320987654,0.08024691358024688,0.0987654320987654
HGST,row,recall,44,0.0802469135802469,0.0802469135802469,0.0725308641975308,0.0925925925925925
HGST,row,recall,45,0.0555555555555555,0.0925925925925925,0.08641975308641967,0.1234567901234567
HGST,row,recall,46,0.074074074074074,0.074074074074074,0.08333333333333327,0.1234567901234567
HGST,row,recall,47,0.0864197530864197,0.0864197530864197,0.07870370370370365,0.0987654320987654
HGST,row,recall,48,0.0864197530864197,0.0864197530864197,0.07716049382716043,0.0864197530864197
HGST,row,recall,49,0.0555555555555555,0.0555555555555555,0.09259259259259253,0.1234567901234567
HGST,row,recall,50,0.0679012345679012,0.1419753086419753,0.09104938271604936,0.1419753086419753
HGST,row,recall,51,0.0864197530864197,0.0864197530864197,0.08179012345679006,0.1049382716049382
HGST,row,recall,52,0.0679012345679012,0.1111111111111111,0.08333333333333327,0.1111111111111111
HGST,row,recall,53,0.0802469135802469,0.0802469135802469,0.07407407407407401,0.1049382716049382
HGST,row,recall,54,0.1172839506172839,0.1172839506172839,0.08641975308641969,0.1172839506172839
HGST,row,recall,55,0.0864197530864197,0.0864197530864197,0.0833333333333333,0.1111111111111111
HGST,row,recall,56,0.0555555555555555,0.0925925925925925,0.07561728395061723,0.0925925925925925
HGST,row,recall,57,0.0617283950617283,0.074074074074074,0.07870370370370362,0.1234567901234567
HGST,row,recall,58,0.0679012345679012,0.1049382716049382,0.08024691358024688,0.1049382716049382
HGST,row,recall,59,0.0987654320987654,0.0987654320987654,0.08487654320987648,0.1049382716049382
HGST,row,recall,60,0.0617283950617283,0.1049382716049382,0.0879629629629629,0.1111111111111111
HGST,row,recall,61,0.0679012345679012,0.0679012345679012,0.07253086419753081,0.074074074074074
HGST,row,recall,62,0.0555555555555555,0.074074074074074,0.07407407407407403,0.0864197530864197
HGST,row,recall,63,0.0987654320987654,0.0987654320987654,0.07716049382716045,0.0987654320987654
HGST,row,recall,64,0.0679012345679012,0.0925925925925925,0.0864197530864197,0.1172839506172839
HGST,row,recall,65,0.074074074074074,0.074074074074074,0.08333333333333329,0.1111111111111111
HGST,row,recall,66,0.074074074074074,0.1111111111111111,0.08796296296296292,0.1111111111111111
HGST,row,recall,67,0.0555555555555555,0.074074074074074,0.08333333333333326,0.1234567901234567
HGST,row,recall,68,0.0679012345679012,0.0679012345679012,0.07098765432098761,0.0925925925925925
HGST,row,recall,69,0.0555555555555555,0.1111111111111111,0.08024691358024688,0.1111111111111111
HGST,row,recall,70,0.074074074074074,0.074074074074074,0.07716049382716042,0.0987654320987654
HGST,row,recall,71,0.0864197530864197,0.0864197530864197,0.074074074074074,0.0864197530864197
HGST,row,precision,42,0.0564971751412429,0.1034482758620689,0.07552027328473848,0.1034482758620689
HGST,row,precision,43,0.0516431924882629,0.0930232558139534,0.07255971528975493,0.0930232558139534
HGST,row,precision,44,0.0666666666666666,0.0666666666666666,0.06638476968999887,0.0837988826815642
HGST,row,precision,45,0.0463917525773195,0.0785340314136125,0.07213818174902832,0.1036269430051813
HGST,row,precision,46,0.0618556701030927,0.0618556701030927,0.07544365410125439,0.0952380952380952
HGST,row,precision,47,0.0686274509803921,0.0686274509803921,0.06898516307357627,0.0898876404494382
HGST,row,precision,48,0.0717948717948717,0.0717948717948717,0.07353598838392406,0.0838323353293413
HGST,row,precision,49,0.0497237569060773,0.0497237569060773,0.07533317482539924,0.0964467005076142
HGST,row,precision,50,0.0569948186528497,0.1084905660377358,0.07984245218106578,0.1084905660377358
HGST,row,precision,51,0.0703517587939698,0.0703517587939698,0.07348297298952382,0.1036585365853658
HGST,row,precision,52,0.0635838150289017,0.0913705583756345,0.07460834054684808,0.0913705583756345
HGST,row,precision,53,0.0673575129533678,0.0673575129533678,0.06705249291096853,0.1036585365853658
HGST,row,precision,54,0.0913461538461538,0.0913461538461538,0.07026195602662706,0.0913461538461538
HGST,row,precision,55,0.0689655172413793,0.0689655172413793,0.07254438076882158,0.0845070422535211
HGST,row,precision,56,0.0588235294117647,0.0769230769230769,0.0713618012843092,0.0838323353293413
HGST,row,precision,57,0.0549450549450549,0.0621761658031088,0.06847554769553643,0.1025641025641025
HGST,row,precision,58,0.0611111111111111,0.1005917159763313,0.07289766562418752,0.1005917159763313
HGST,row,precision,59,0.0851063829787234,0.0851063829787234,0.07732055178863687,0.0934065934065934
HGST,row,precision,60,0.0507614213197969,0.0871794871794871,0.07359350737959805,0.0871794871794871
HGST,row,precision,61,0.0582010582010582,0.0582010582010582,0.06497047675742915,0.0718562874251497
HGST,row,precision,62,0.0520231213872832,0.0655737704918032,0.06796642499851208,0.0828402366863905
HGST,row,precision,63,0.082051282051282,0.082051282051282,0.06561910855104566,0.0846560846560846
HGST,row,precision,64,0.0558375634517766,0.0746268656716417,0.07026247730427375,0.0904761904761904
HGST,row,precision,65,0.0779220779220779,0.0612244897959183,0.07745491116026829,0.09375
HGST,row,precision,66,0.0662983425414364,0.0886699507389162,0.07766500196281988,0.0886699507389162
HGST,row,precision,67,0.0532544378698224,0.0652173913043478,0.07470647462818725,0.1020408163265306
HGST,row,precision,68,0.0575916230366492,0.0575916230366492,0.0644916415567687,0.0857142857142857
HGST,row,precision,69,0.05,0.09,0.06976211288711287,0.09
HGST,row,precision,70,0.0634920634920634,0.0634920634920634,0.0685144509213107,0.0842105263157894
HGST,row,precision,71,0.0717948717948717,0.0838323353293413,0.06986655410303465,0.0838323353293413
HGST,op,recall,42,0.1419753086419753,0.0617283950617283,0.10493827160493821,0.1419753086419753
HGST,op,recall,43,0.1358024691358024,0.0432098765432098,0.09104938271604933,0.1358024691358024
HGST,op,recall,44,0.1049382716049382,0.1049382716049382,0.10956790123456785,0.1172839506172839
HGST,op,recall,45,0.1358024691358024,0.0555555555555555,0.10030864197530857,0.1358024691358024
HGST,op,recall,46,0.0555555555555555,0.0555555555555555,0.09413580246913575,0.1419753086419753
HGST,op,recall,48,0.0679012345679012,0.0679012345679012,0.09413580246913575,0.1234567901234567
HGST,op,recall,49,0.1419753086419753,0.1419753086419753,0.09567901234567894,0.1419753086419753
HGST,op,recall,50,0.1543209876543209,0.0864197530864197,0.10648148148148143,0.1543209876543209
HGST,op,recall,51,0.0555555555555555,0.0555555555555555,0.09259259259259253,0.1234567901234567
HGST,op,recall,53,0.0925925925925925,0.0925925925925925,0.1003086419753086,0.1296296296296296
HGST,op,recall,55,0.0864197530864197,0.0864197530864197,0.10802469135802464,0.1604938271604938
HGST,op,recall,57,0.1419753086419753,0.0987654320987654,0.12037037037037032,0.1419753086419753
HGST,op,recall,58,0.1419753086419753,0.0864197530864197,0.0987654320987654,0.1419753086419753
HGST,op,recall,59,0.0185185185185185,0.0185185185185185,0.09259259259259256,0.1481481481481481
HGST,op,recall,63,0.0987654320987654,0.0987654320987654,0.11265432098765424,0.1543209876543209
HGST,op,recall,64,0.1296296296296296,0.0679012345679012,0.1003086419753086,0.1296296296296296
HGST,op,recall,65,0.0987654320987654,0.0802469135802469,0.0987654320987654,0.1172839506172839
HGST,op,recall,66,0.1358024691358024,0.0679012345679012,0.0848765432098765,0.1358024691358024
HGST,op,recall,67,0.1234567901234567,0.0617283950617283,0.103395061728395,0.1481481481481481
HGST,op,recall,68,0.0493827160493827,0.0493827160493827,0.08950617283950615,0.1296296296296296
HGST,op,recall,69,0.1358024691358024,0.1234567901234567,0.10030864197530857,0.1358024691358024
HGST,op,recall,70,0.0617283950617283,0.0617283950617283,0.10185185185185178,0.1296296296296296
HGST,op,recall,71,0.0987654320987654,0.0555555555555555,0.09567901234567897,0.1419753086419753
HGST,op,precision,42,0.2839506172839506,0.2040816326530612,0.266656423369655,0.3255813953488372
HGST,op,precision,43,0.3859649122807017,0.1627906976744186,0.2636423908608731,0.3859649122807017
HGST,op,precision,44,0.3090909090909091,0.3090909090909091,0.31121295399893817,0.4146341463414634
HGST,op,precision,45,0.2340425531914893,0.3333333333333333,0.3021003818876159,0.3333333333333333
HGST,op,precision,46,0.2647058823529412,0.2647058823529412,0.289997185357883,0.3414634146341463
HGST,op,precision,48,0.2619047619047619,0.2619047619047619,0.2523214324064784,0.3181818181818182
HGST,op,precision,49,0.4181818181818181,0.4181818181818181,0.2742229659609796,0.4181818181818181
HGST,op,precision,50,0.3571428571428571,0.2857142857142857,0.2977843915343915,0.3571428571428571
HGST,op,precision,51,0.2368421052631578,0.2368421052631578,0.2667810175705988,0.2835820895522388
HGST,op,precision,53,0.2586206896551724,0.2586206896551724,0.2724287584768528,0.282051282051282
HGST,op,precision,55,0.3111111111111111,0.3111111111111111,0.28882106731775375,0.3111111111111111
HGST,op,precision,57,0.3150684931506849,0.3076923076923077,0.3332695652901132,0.4047619047619047
HGST,op,precision,58,0.2839506172839506,0.2857142857142857,0.24363477920867854,0.2916666666666667
HGST,op,precision,59,0.2142857142857142,0.2142857142857142,0.2557069785237593,0.273972602739726
HGST,op,precision,63,0.3265306122448979,0.3265306122448979,0.2853673241871999,0.3846153846153846
