model,model_label,total_alarms,0_10d,11_30d,31_60d,gt_60d,pct_0_10d,pct_11_30d,pct_31_60d,pct_gt_60d
lgbm,LightGBM,32,7,10,3,12,21.875,31.25,9.375,37.5
xgb,XGBoost,16,6,2,3,5,37.5,12.5,18.75,31.25
lstm,LSTM,26,12,4,1,9,46.15384615384615,15.384615384615385,3.8461538461538463,34.61538461538461
gru,GRU,21,10,4,1,6,47.61904761904761,19.047619047619047,4.761904761904762,28.57142857142857
