days_before,mean_abs_ig,q25,q75
13,0.15944164,0.039353132,0.21846622
12,0.07713504,0.017766144,0.10906494
11,0.03642908,0.010044332,0.044343222
10,0.02647103,0.0034616056,0.028578423
9,0.04127488,0.002754637,0.05339393
8,0.025058476,0.0027561756,0.024690822
7,0.023156349,0.0030462865,0.019258806
6,0.026455406,0.0035578508,0.023660509
5,0.028623536,0.0042364798,0.023637913
4,0.034149155,0.008382257,0.03640046
3,0.037686903,0.010159498,0.04008756
2,0.04563902,0.015732953,0.05361934
1,0.14937913,0.07627323,0.18150555
0,0.33380854,0.23279206,0.45462483
