serial_number,actual_failure_date,first_alarm_date,days_to_failure_at_alarm,alarm_predicted_score
ZCH06TH0,2019-02-19,2019-02-19,0.0,0.5011113882064819
ZCH06WWK,2019-07-16,2019-07-02,14.0,0.3246826231479645
ZCH06ZR3,2019-02-18,2019-02-09,9.0,0.19664256274700165
ZCH070MN,2018-09-17,2018-09-16,1.0,0.3695242404937744
ZCH070VR,2019-08-01,2019-07-31,1.0,0.7100942730903625
ZCH070ZQ,2018-10-02,2018-10-02,0.0,0.687731921672821
ZCH072P4,2018-06-02,2018-05-03,30.0,0.14221827685832977
ZCH073Z9,2018-12-17,2018-12-16,1.0,0.1304636001586914
ZCH077N9,2019-06-12,2019-06-09,3.0,0.5452643036842346
ZCH07G29,2020-09-03,2020-09-02,1.0,0.2665564715862274
ZCH07HM0,2019-11-02,2019-10-09,24.0,0.11188775300979614
ZCH07JAG,2018-01-20,2017-12-25,26.0,0.15974466502666473
ZCH07ZZC,2019-11-19,2019-11-19,0.0,0.12082947045564651
ZCH08034,2020-05-29,2020-05-27,2.0,0.16037452220916748
ZCH089YR,2019-08-05,2019-07-31,5.0,0.11449003964662552
ZCH08B2G,2019-09-28,2019-09-27,1.0,0.15435709059238434
ZCH09753,2019-08-23,2019-08-23,0.0,0.5666596293449402
ZCH09PRH,2018-11-11,2018-11-11,0.0,0.22690966725349426
ZCH0BCWV,2018-04-25,2018-04-25,0.0,0.49063360691070557
ZCH0BJ46,2019-06-25,2019-06-25,0.0,0.3687823414802551
ZCH0CZBH,2019-05-21,2019-05-07,14.0,0.1274123340845108
ZCH0D1PC,2019-02-09,2019-02-08,1.0,0.11163348704576492
ZCH0DG3H,2019-07-26,2019-07-14,12.0,0.2817440629005432
ZCH0E7WL,2019-05-10,2019-04-17,23.0,0.41107726097106934
ZJV005J2,2021-01-21,2021-01-16,5.0,0.12535907328128815
ZJV00D2C,2020-11-03,2020-10-21,13.0,0.276037335395813
ZJV00FBJ,2019-05-24,2019-05-24,0.0,0.3344303071498871
ZJV00FQZ,2019-07-25,2019-07-11,14.0,0.13256685435771942
ZJV00H1Q,2018-12-29,2018-12-29,0.0,0.11233896762132645
ZJV03W5T,2019-09-17,2019-09-13,4.0,0.5688169002532959
ZJV0BMW1,2019-11-25,2019-11-25,0.0,0.1987927109003067
ZJV0RYMQ,2023-02-13,2023-02-13,0.0,0.49625810980796814
ZJV19EWJ,2019-07-19,2019-07-14,5.0,0.20264852046966553
ZJV19Q8F,2024-12-21,2024-12-21,0.0,0.44864922761917114
ZJV1KYJ9,2020-01-30,2020-01-23,7.0,0.5041258931159973
ZJV2ENN5,2019-03-18,2019-03-14,4.0,0.7665997743606567
ZJV2FPYG,2019-07-07,2019-06-23,14.0,0.3852517902851105
ZJV39MN7,2022-08-26,2022-08-20,6.0,0.16802620887756348
ZJV3A0BA,2021-03-25,2021-03-20,5.0,0.2805713415145874
ZJV3AFSA,2023-08-08,2023-08-07,1.0,0.14901012182235718
ZJV3AVA4,2024-03-17,2024-03-17,0.0,0.5483139157295227
ZJV3BF8Z,2022-10-28,2022-10-27,1.0,0.13755430281162262
ZJV3C4KD,2022-02-11,2022-01-28,14.0,0.22001682221889496
ZJV3C6PV,2021-05-19,2021-05-07,12.0,0.14001290500164032
ZJV3C8BB,2022-07-02,2022-07-02,0.0,0.13258111476898193
ZJV3D049,2023-05-31,2023-05-26,5.0,0.13981713354587555
ZJV3D9GE,2023-11-28,2023-11-24,4.0,0.24024660885334015
ZJV4K6RZ,2023-12-04,2023-11-28,6.0,0.1897059679031372
ZJV4LLAA,2025-07-17,2025-07-14,3.0,0.11475561559200287
ZJV4M12C,2020-03-08,2020-02-09,28.0,0.21629542112350464
