serial_number,hdd,model,threshold,actual_failure_date,first_alarm_date,lead_time_days,alarm_score
2AGH33SY,HGST_20HUH721212ALN604,GRU,0.16,2025-05-08,2025-03-01,68,0.2324032336473465
2AGHLGTY,HGST_20HUH721212ALN604,GRU,0.16,2025-08-05,2025-02-28,158,0.19311442971229553
2AGHN0TY,HGST_20HUH721212ALN604,GRU,0.16,2020-10-22,2020-08-24,59,0.19479605555534363
2AGHTBYY,HGST_20HUH721212ALN604,GRU,0.16,2025-01-25,2023-09-15,498,0.17332065105438232
2AGM5V7Y,HGST_20HUH721212ALN604,GRU,0.16,2025-12-05,2024-12-22,348,0.25645673274993896
2AGM8UNY,HGST_20HUH721212ALN604,GRU,0.16,2026-03-12,2025-10-18,145,0.1843084692955017
2AGME0XY,HGST_20HUH721212ALN604,GRU,0.16,2024-05-29,2024-01-18,132,0.16169027984142303
2AGMHWAY,HGST_20HUH721212ALN604,GRU,0.16,2023-09-22,2023-03-25,181,0.232232466340065
2AGMHXDY,HGST_20HUH721212ALN604,GRU,0.16,2025-06-02,2025-05-29,4,0.18275313079357147
2AGMKV4Y,HGST_20HUH721212ALN604,GRU,0.16,2026-01-28,2025-12-14,45,0.1643894612789154
2AGMLSZY,HGST_20HUH721212ALN604,GRU,0.16,2020-07-30,2020-07-19,11,0.21197369694709778
2AGMND4Y,HGST_20HUH721212ALN604,GRU,0.16,2025-10-27,2025-10-12,15,0.23808957636356354
2AGMNE1Y,HGST_20HUH721212ALN604,GRU,0.16,2025-11-26,2025-07-01,148,0.17193278670310974
2AGMNJKY,HGST_20HUH721212ALN604,GRU,0.16,2025-09-29,2025-09-14,15,0.1636914312839508
2AGMPP4Y,HGST_20HUH721212ALN604,GRU,0.16,2025-09-23,2025-09-11,12,0.21768617630004883
2AGMTK0Y,HGST_20HUH721212ALN604,GRU,0.16,2025-08-30,2025-08-30,0,0.40515491366386414
2AGN9N4Y,HGST_20HUH721212ALN604,GRU,0.16,2025-03-06,2025-01-26,39,0.2452777773141861
2AGP393Y,HGST_20HUH721212ALN604,GRU,0.16,2023-04-06,2019-08-10,1335,0.1650772988796234
5QGGAELB,HGST_20HUH721212ALN604,GRU,0.16,2025-06-04,2025-01-12,143,0.18866626918315887
5QH0Z60B,HGST_20HUH721212ALN604,GRU,0.16,2024-05-14,2024-01-16,119,0.18441486358642578
5QJBW5VB,HGST_20HUH721212ALN604,GRU,0.16,2024-05-25,2024-05-08,17,0.2667936384677887
8CGTZ9HE,HGST_20HUH721212ALN604,GRU,0.16,2023-07-12,2023-04-22,81,0.18462730944156647
8CGXNNUE,HGST_20HUH721212ALN604,GRU,0.16,2022-05-10,2022-05-01,9,0.1618124395608902
8CH190UE,HGST_20HUH721212ALN604,GRU,0.16,2022-03-26,2022-03-16,10,0.17795643210411072
8CH1APUE,HGST_20HUH721212ALN604,GRU,0.16,2025-09-18,2025-07-05,75,0.18866394460201263
8CH4YM6E,HGST_20HUH721212ALN604,GRU,0.16,2025-03-13,2024-12-06,97,0.16624026000499725
8CH5214E,HGST_20HUH721212ALN604,GRU,0.16,2024-02-15,2024-01-17,29,0.1999327689409256
8CH5HRYE,HGST_20HUH721212ALN604,GRU,0.16,2024-12-24,2024-04-22,246,0.1625407487154007
8HG7LGUH,HGST_20HUH721212ALN604,GRU,0.16,2025-06-01,2025-03-02,91,0.1903214305639267
8HHARE1H,HGST_20HUH721212ALN604,GRU,0.16,2023-03-24,2023-03-11,13,0.16467660665512085
8HHPUREH,HGST_20HUH721212ALN604,GRU,0.16,2024-05-16,2023-08-10,280,0.17512840032577515
8HJ9K7HH,HGST_20HUH721212ALN604,GRU,0.16,2025-01-28,2025-01-26,2,0.1633688360452652
8HK6VSKH,HGST_20HUH721212ALN604,GRU,0.16,2024-03-10,2024-03-06,4,0.16187071800231934
8HKPZY9H,HGST_20HUH721212ALN604,GRU,0.16,2024-08-13,2024-06-14,60,0.18388357758522034
8HKU3YTH,HGST_20HUH721212ALN604,GRU,0.16,2024-07-13,2023-11-07,249,0.1721135675907135
8HKY0KHH,HGST_20HUH721212ALN604,GRU,0.16,2024-05-14,2023-04-12,398,0.17982631921768188
AAG5YYKH,HGST_20HUH721212ALN604,GRU,0.16,2025-09-30,2025-07-18,74,0.20296728610992432
AAG61LHH,HGST_20HUH721212ALN604,GRU,0.16,2024-05-17,2023-12-23,146,0.17581625282764435
AAG63PKH,HGST_20HUH721212ALN604,GRU,0.16,2022-05-22,2022-05-22,0,0.16017933189868927
AAG63TMH,HGST_20HUH721212ALN604,GRU,0.16,2025-09-02,2024-08-07,391,0.16692280769348145
AAG63Z8H,HGST_20HUH721212ALN604,GRU,0.16,2025-09-28,2025-09-14,14,0.2812838852405548
AAG6417H,HGST_20HUH721212ALN604,GRU,0.16,2024-06-06,2024-05-30,7,0.19988000392913818
AAG67V3H,HGST_20HUH721212ALN604,GRU,0.16,2025-06-20,2025-06-20,0,0.18631112575531006
AAG682YH,HGST_20HUH721212ALN604,GRU,0.16,2024-07-04,2024-02-11,144,0.17341700196266174
