Quadrant,Model,HDD,Threshold,Serial_Number,Has_Failed,Total_Obs_Days,Max_Prediction_Probability,Alarm_Triggered_Days
TP,LightGBM,HGST_20HUH721212ALN604,0.99,2AGHN0TY,1,515,1.0,34
FN,LightGBM,HGST_20HUH721212ALN604,0.99,5QGGAELB,1,800,0.965724221065436,0
FP,LightGBM,HGST_20HUH721212ALN604,0.99,AAG61KPH,0,2531,1.0,27
TN,LightGBM,HGST_20HUH721212ALN604,0.99,2AG61PSY,0,2467,0.0007909511676434602,0
