model,model_label,total_alarms,0_10d,11_30d,31_60d,gt_60d,pct_0_10d,pct_11_30d,pct_31_60d,pct_gt_60d
lgbm,LightGBM,525,129,93,80,223,24.571428571428573,17.71428571428571,15.238095238095239,42.47619047619048
xgb,XGBoost,786,148,147,75,416,18.829516539440203,18.702290076335878,9.541984732824428,52.926208651399484
lstm,LSTM,3688,299,375,432,2582,8.107375271149674,10.168112798264643,11.713665943600867,70.01084598698482
gru,GRU,2447,294,288,308,1557,12.014711892112791,11.76951369023294,12.58684102983245,63.62893338782182
