serial_number,actual_failure_date,first_alarm_date,days_to_failure_at_alarm,alarm_predicted_score
2AGGHGJY,2024-11-19,2024-11-19,0.0,0.5702230930328369
2AGM8EMY,2024-10-29,2024-10-29,0.0,0.6446989178657532
2AGME9PY,2024-08-06,2024-08-06,0.0,0.5974369645118713
2AGMHWAY,2023-09-22,2023-09-09,13.0,0.7170466184616089
2AGMLSZY,2020-07-30,2020-07-23,7.0,0.5774312615394592
2AGMND4Y,2025-10-27,2025-10-22,5.0,0.5847644805908203
2AGMTK0Y,2025-08-30,2025-08-25,5.0,0.5902120471000671
5QJBW5VB,2024-05-25,2024-05-08,17.0,0.5267643928527832
8HHARE1H,2023-03-24,2023-03-05,19.0,0.7036895751953125
8HHNHSUH,2024-12-06,2024-12-06,0.0,0.5322235822677612
8HK6VSKH,2024-03-10,2024-03-06,4.0,0.4712425768375397
8HKMR21H,2020-09-02,2020-08-25,8.0,0.5759500861167908
AAG1LW3H,2024-09-03,2024-08-17,17.0,0.9090418219566345
AAG61LHH,2024-05-17,2024-05-09,8.0,0.6097850203514099
AAG63Z8H,2025-09-28,2025-09-13,15.0,0.5109632015228271
AAG6417H,2024-06-06,2024-05-30,7.0,0.5724501609802246
AAG7LTHH,2024-07-29,2024-07-29,0.0,0.46665841341018677
AAHLV40H,2019-08-05,2019-07-27,9.0,0.6717469692230225
