serial_number,actual_failure_date,first_alarm_date,days_to_failure_at_alarm,alarm_predicted_score
ZCH06TH0,2019-02-19,2019-02-19,0.0,0.49590370059013367
ZCH06WWK,2019-07-16,2019-07-03,13.0,0.3717493712902069
ZCH06ZR3,2019-02-18,2019-02-16,2.0,0.4458807706832886
ZCH070MN,2018-09-17,2018-09-16,1.0,0.41473260521888733
ZCH070VR,2019-08-01,2019-07-29,3.0,0.35996145009994507
ZCH070ZQ,2018-10-02,2018-10-02,0.0,0.37085938453674316
ZCH073Z9,2018-12-17,2018-12-17,0.0,0.34088951349258423
ZCH077N9,2019-06-12,2019-06-09,3.0,0.5011377930641174
ZCH078J5,2020-11-23,2020-11-16,7.0,0.37911927700042725
ZCH078YM,2019-09-13,2019-08-21,23.0,0.3530372381210327
ZCH07BWD,2019-12-13,2019-11-22,21.0,0.4017889201641083
ZCH07G29,2020-09-03,2020-08-18,16.0,0.32536545395851135
ZCH07HM0,2019-11-02,2019-10-08,25.0,0.35884347558021545
ZCH07JAG,2018-01-20,2017-12-29,22.0,0.3378782868385315
ZCH07NLF,2020-07-10,2020-07-04,6.0,0.32297855615615845
ZCH07QC8,2020-01-09,2020-01-08,1.0,0.4212706387042999
ZCH080S1,2019-06-12,2019-06-07,5.0,0.3661852478981018
ZCH089YR,2019-08-05,2019-08-01,4.0,0.3319302201271057
ZCH08B2G,2019-09-28,2019-09-06,22.0,0.35124120116233826
ZCH09PRH,2018-11-11,2018-11-11,0.0,0.40033090114593506
ZCH0APGY,2021-04-04,2021-04-03,1.0,0.37416547536849976
ZCH0BCWV,2018-04-25,2018-04-25,0.0,0.482898086309433
ZCH0BJ46,2019-06-25,2019-06-16,9.0,0.3213502764701843
ZCH0BTJN,2019-09-27,2019-09-27,0.0,0.35172733664512634
ZCH0DG3H,2019-07-26,2019-07-25,1.0,0.3703306317329407
ZCH0E7WL,2019-05-10,2019-04-17,23.0,0.326589435338974
ZJV00D2C,2020-11-03,2020-10-23,11.0,0.3633570671081543
ZJV00F20,2019-11-20,2019-11-20,0.0,0.47096937894821167
ZJV00FQZ,2019-07-25,2019-07-17,8.0,0.3352850675582886
ZJV00H1Q,2018-12-29,2018-12-29,0.0,0.39149928092956543
ZJV02D6G,2019-09-17,2019-09-15,2.0,0.34711870551109314
ZJV03SVX,2019-08-07,2019-08-07,0.0,0.32365578413009644
ZJV03W5T,2019-09-17,2019-09-13,4.0,0.46431756019592285
ZJV04HXS,2019-11-17,2019-10-26,22.0,0.3381303548812866
ZJV19EWJ,2019-07-19,2019-07-15,4.0,0.3534267544746399
ZJV1KYJ9,2020-01-30,2020-01-23,7.0,0.39603424072265625
ZJV2ECQW,2019-07-13,2019-07-13,0.0,0.3541717827320099
ZJV2ENN5,2019-03-18,2019-03-14,4.0,0.44929710030555725
ZJV2FPYG,2019-07-07,2019-06-15,22.0,0.3757171034812927
ZJV3A0BA,2021-03-25,2021-03-13,12.0,0.41000741720199585
ZJV3AFSA,2023-08-08,2023-08-07,1.0,0.3999873995780945
ZJV3BF8Z,2022-10-28,2022-10-27,1.0,0.4047916829586029
ZJV3C4KD,2022-02-11,2022-01-28,14.0,0.3897504508495331
ZJV3C8BB,2022-07-02,2022-07-02,0.0,0.3536137342453003
ZJV3CG0J,2025-03-13,2025-03-05,8.0,0.33627820014953613
ZJV3CSA2,2021-01-12,2021-01-11,1.0,0.39904114603996277
ZJV3D049,2023-05-31,2023-05-31,0.0,0.33272507786750793
ZJV3D9GE,2023-11-28,2023-11-24,4.0,0.41490674018859863
ZJV4K3F6,2021-05-29,2021-05-09,20.0,0.44399458169937134
ZJV4K6RZ,2023-12-04,2023-11-30,4.0,0.4017946720123291
ZJV4LE7S,2023-05-22,2023-05-04,18.0,0.33226311206817627
ZJV4LLAA,2025-07-17,2025-07-04,13.0,0.4084589183330536
ZJV4M12C,2020-03-08,2020-02-08,29.0,0.4414324462413788
