threshold,precision,recall,f1,far,mean_lead_time,median_lead_time,std_lead_time,edr_15,hits,false_alarms,misses,correct_rejections
0.01,0.2388888888888889,0.20574162679425836,0.2210796915167095,0.017167381974248927,110.50862068965517,49.5,150.07874345165789,0.39712918660287083,43,137,93,3664
0.02,0.23668639053254437,0.19138755980861244,0.21164021164021163,0.015021459227467811,111.42477876106194,56.0,144.66138706696023,0.39712918660287083,40,129,96,3672
0.03,0.26666666666666666,0.19138755980861244,0.22284122562674094,0.012607296137339056,99.51456310679612,46.0,135.66197742187384,0.3444976076555024,40,110,106,3681
0.04,0.27586206896551724,0.19138755980861244,0.22598870056497175,0.011534334763948498,89.23529411764706,46.0,112.52304134156984,0.3397129186602871,40,105,107,3685
0.05,0.2777777777777778,0.19138755980861244,0.22662889518413598,0.011266094420600859,89.23529411764706,46.0,112.52304134156984,0.3397129186602871,40,104,107,3686
0.06,0.3088235294117647,0.20095693779904306,0.24347826086956523,0.0101931330472103,82.5,40.0,112.13114133523683,0.31100478468899523,42,94,111,3690
0.07,0.3211009174311927,0.1674641148325359,0.22012578616352202,0.006974248927038627,75.57831325301204,41.0,87.02002545902768,0.2727272727272727,35,74,126,3702
0.08,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
0.09,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
0.1,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
0.11,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
0.12,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
0.13,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
0.14,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
0.15,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
0.16,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
0.17,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
0.18,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
0.19,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
0.2,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
0.21,0.3269230769230769,0.16267942583732056,0.21725239616613415,0.006169527896995708,73.71604938271605,41.0,83.9794558310339,0.2679425837320574,34,70,128,3705
